,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
0,Natan Levy,Record: 5-0-0,"5' 6""",145 lbs.,--,,"Sep 30, 1991",0.00,0%,0.00,0%,0.00,0%,0%,0.0,a29db9cd4f9ccea5
1,Sasha Palatnikov,Record: 5-2-0,"6' 0""",170 lbs.,--,,"Mar 15, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0,a6c20202c701e5ca
2,Harry Hunsucker,Record: 6-3-0,"6' 2""",241 lbs.,"75""",Orthodox,"Jan 03, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,f703250471acaf96
3,Victoria Leonardo,Record: 7-2-0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,9dedfdd91070ddd8
4,Casey O'Neill,Record: 4-0-0,--,115 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,04835018f90b118c
5,Nick Maximov,Record: 5-0-0,"5' 11""",205 lbs.,--,,"Dec 23, 1997",0.0,0%,0.0,0%,0.0,0%,0%,0.0,12585614e0ed2626
6,Taylor Moore,Record: 8-3-0,"5' 10""",135 lbs.,--,,"Oct 16, 1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,26927dab41dbd5fc
7,Nick Motta,Record: 11-2-0,"5' 8""",155 lbs.,--,,"Feb 08, 1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,37f560436d745c18
8,Landon Quinones,Record: 5-1-1,"5' 9""",155 lbs.,--,,"Nov 21, 1996",0.0,0%,0.0,0%,0.0,0%,0%,0.0,267f4a6568abe245
9,Victor Rodriguez,Record: 7-3-0,"5' 5""",135 lbs.,"67""",Switch,"Sep 05, 1992",2.17,46%,6.14,50%,0.0,0%,0%,0.0,f6e5972c9d16c40e
