,FIGHTER,DOB,HEIGHT,REACH,STANCE,FIGHTER_ID
0,Natan Levy,1991-09-30,167.64,167.64,,a29db9cd4f9ccea5
1,Sasha Palatnikov,1989-03-15,182.88,182.88,,a6c20202c701e5ca
2,Harry Hunsucker,1989-01-03,187.96,190.5,ORT,f703250471acaf96
3,Victoria Leonardo,,165.1,165.1,,9dedfdd91070ddd8
4,Casey O'Neill,,,,,04835018f90b118c
5,Nick Maximov,1997-12-23,180.34,180.34,,12585614e0ed2626
6,Taylor Moore,1993-10-16,177.8,177.8,,26927dab41dbd5fc
7,Nick Motta,1993-02-08,172.72,172.72,,37f560436d745c18
8,Landon Quinones,1996-11-21,175.26,175.26,,267f4a6568abe245
9,Victor Rodriguez,1992-09-05,165.1,170.18,SWI,f6e5972c9d16c40e
10,Danny Sabatello,1993-03-31,175.26,175.26,,cb7ee07982de2a28
11,Luis Saldana,1991-01-27,180.34,185.42,ORT,12e0fdc606f7e274
12,Shaheen Santana,1991-06-04,,,,19809d475ed832d5
13,Liliya Shakirova,1991-10-24,162.56,165.1,ORT,f300763147320d12
14,Jamey Simmons,1992-09-11,165.1,165.1,ORT,f0fad0e9f3b65752
15,Ben Earwood,,172.72,172.72,ORT,ee457ef1e1c326c1
16,Cody East,1988-06-29,190.5,187.96,ORT,5713c1d2fac539ac
17,Marvin Eastman,1971-06-08,175.26,185.42,ORT,05866d8c3a321856
18,Mike Easton,1984-01-25,167.64,177.8,SOU,bc7230f231701d66
19,Maurice Eazel,,170.18,170.18,,4acb99524a9a81ab
20,Vincent Eazelle,1980-12-07,180.34,180.34,,ec421d5de0aea624
21,Ross Ebanez,1975-05-18,175.26,175.26,SOU,a5b0bd216d8ba84e
22,Brian Ebersole,1980-11-27,182.88,185.42,SOU,32ba186f4b0e3267
23,Mark Eddiva,1986-02-16,172.72,172.72,ORT,40ff198adda94b9f
24,Frankie Edgar,1981-10-16,167.64,172.72,ORT,f2688492b9a525a3
25,Abdul-Kerim Edilov,1991-11-25,187.96,198.12,ORT,37e03538c960bac6
26,Johnny Eduardo,1978-08-03,170.18,180.34,ORT,528c24b99fbaab79
27,Yves Edwards,1976-09-30,175.26,185.42,SOU,5f04e3d58d9ce982
28,Justin Edwards,1983-01-26,177.8,177.8,ORT,e56daf7725a0b5ab
29,Leon Edwards,1991-08-25,187.96,187.96,SOU,f1fac969a1d70b08
30,Te Edwards,1990-09-11,172.72,182.88,ORT,ef44e4ea9050f2ea
31,Adli Edwards,1989-08-28,,,,e6904a03a66e711d
32,Tom Egan,,180.34,180.34,ORT,eae4aec1a5a8ff01
33,Stephanie Egger,1988-08-12,167.64,172.72,ORT,5e6294b37bbef029
34,Justin Eilers,1978-06-28,185.42,185.42,ORT,27fc9218a3653e3c
35,Jon Olav Einemo,1975-12-10,198.12,198.12,ORT,0577808d22dfe79c
36,Per Eklund,1980-11-12,177.8,182.88,ORT,58bc81376286b3d3
37,John Elam,,,,,22d80fb67e50ab0b
38,John Paul Elias,1988-11-03,193.04,193.04,,e873203fd50542f6
39,Saul Elizondo,1985-07-17,170.18,167.64,,e295b96f135d758a
40,Darren Elkins,1984-05-16,177.8,180.34,ORT,92a9aa9c93192871
41,Jake Ellenberger,1985-03-28,175.26,180.34,ORT,d81ac739417d7f53
42,Joe Ellenberger,1985-03-28,175.26,182.88,ORT,8e8e4487c621aa1c
